v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,y
24.7,48.5,2449.5,133.0,5044.5,1.2,2.2,3.8,568.8,19.9,908.7100000000003
21.0,56.2,2114.7,163.7,4559.6,1.0,2.1,3.8,542.8,23.7,963.0200000000012
18.2,56.8,2055.4,150.3,4718.8,0.8,2.4,4.6,431.6,23.5,1352.9300000000014
20.8,56.0,2112.9,165.9,4503.9,1.0,2.1,3.8,533.9,23.9,1401.0400000000016
21.0,56.4,2146.7,166.0,4492.2,1.0,2.1,3.8,543.2,23.7,1459.0500000000013
20.8,56.5,2126.7,164.1,4486.6,1.0,2.1,3.8,534.0,23.9,1510.260000000001
19.6,51.6,2283.4,153.9,5066.1,0.9,2.2,4.0,486.3,23.8,2267.7700000000013
21.2,55.6,2136.6,166.1,4523.4,1.0,2.1,3.8,536.3,23.7,2281.0800000000017
21.1,55.6,2141.6,163.9,4531.8,1.0,2.1,3.8,534.4,23.5,2300.090000000002
20.9,55.5,2131.6,164.4,4504.4,1.0,2.1,3.8,543.0,23.5,2329.7000000000016
24.7,62.2,2518.6,151.3,4420.5,0.9,2.1,3.6,506.2,21.1,2878.510000000001
20.9,55.8,2126.3,165.2,4539.3,1.0,2.1,3.8,539.6,23.7,2897.4200000000014
23.1,48.0,1779.8,160.2,4701.5,0.8,2.5,3.1,605.8,22.6,3505.230000000001
20.9,55.7,2115.3,164.7,4495.6,1.0,2.1,3.8,538.0,23.5,3554.2400000000002
20.9,57.4,2287.5,138.3,4611.7,1.0,1.7,3.2,564.2,28.3,3853.6300000000006
21.1,55.6,2127.9,163.5,4523.3,1.0,2.1,3.8,540.3,23.7,3865.54
22.2,57.1,2029.0,158.2,5244.2,1.2,2.1,4.2,581.9,20.0,4739.949999999999
20.8,55.6,2126.7,163.1,4545.3,1.0,2.1,3.8,535.2,23.5,4766.96
23.7,58.6,2043.1,159.6,4878.5,1.2,2.4,4.2,607.8,23.0,5284.870000000001
22.8,53.1,2477.9,174.3,5430.0,1.0,2.3,3.7,446.6,20.8,6640.68
18.3,48.0,2400.7,186.4,4595.7,1.0,2.1,3.6,625.5,19.8,7099.19
21.0,56.5,2147.0,165.7,4546.1,1.0,2.1,3.8,535.5,23.5,7137.3
20.9,56.0,2148.6,166.1,4495.8,1.0,2.1,3.8,542.5,23.7,7192.61
22.5,60.8,1820.4,185.6,3760.5,1.2,1.7,3.6,473.2,22.2,8363.9
21.1,56.3,2133.5,165.7,4568.6,1.0,2.1,3.8,539.9,23.7,8410.01
21.0,56.4,2141.5,163.6,4540.3,1.0,2.1,3.8,534.7,23.9,8437.42
21.0,56.4,2143.3,164.1,4522.7,1.0,2.1,3.8,532.8,23.6,8460.73
20.8,55.9,2113.8,164.8,4488.1,1.0,2.1,3.8,534.8,23.7,8521.640000000001
21.2,56.4,2145.1,165.4,4557.8,1.0,2.1,3.8,539.0,23.8,8567.550000000003
18.2,56.2,2439.9,156.5,4171.4,1.0,2.1,4.3,636.0,25.4,9341.060000000005
18.8,46.7,1836.8,145.5,4560.8,1.2,2.3,3.2,628.6,25.3,9790.170000000007
23.0,60.7,1848.6,193.5,4035.5,0.8,1.8,4.5,436.3,28.1,10706.260000000011
22.9,64.9,2087.8,186.7,4150.2,0.9,2.4,4.0,447.4,28.0,11254.070000000012
18.4,56.3,2020.4,168.0,3944.5,1.2,2.0,3.7,605.9,28.1,12024.860000000011
22.5,58.8,2137.4,159.1,4920.6,1.0,1.8,3.2,634.6,25.9,12531.550000000014
20.8,56.2,2147.1,163.7,4544.0,1.0,2.1,3.8,542.7,23.8,12569.260000000017
25.0,54.7,2408.9,184.7,4634.0,0.9,1.9,3.4,532.9,24.5,12980.850000000017
20.9,56.2,2140.1,165.2,4555.9,1.0,2.1,3.8,535.9,23.5,13020.66000000002
22.4,53.2,1840.8,155.8,4241.1,1.1,2.4,3.4,504.6,27.0,13647.170000000016
20.9,55.5,2136.3,165.9,4511.0,1.0,2.1,3.8,534.4,23.6,13674.480000000016
24.1,47.5,2182.0,175.5,4868.6,1.1,1.9,3.8,524.1,21.9,14101.170000000016
20.8,56.3,2124.0,164.7,4495.9,1.0,2.1,3.8,533.1,23.8,14145.980000000016
18.7,65.6,2426.3,132.1,4015.9,1.1,2.4,4.5,489.4,20.5,15047.890000000018
21.0,55.7,2114.1,165.5,4511.2,1.0,2.1,3.8,542.4,23.8,15087.600000000015
20.8,53.8,2140.8,150.2,5032.4,1.1,1.8,3.1,627.1,27.7,15712.290000000017
20.8,56.1,2133.6,165.0,4542.1,1.0,2.1,3.8,534.7,23.6,15732.600000000019
20.9,55.6,2127.0,165.3,4534.5,1.0,2.1,3.8,536.1,23.7,15746.610000000019
21.0,56.3,2122.7,163.2,4572.7,1.0,2.1,3.8,539.8,23.9,15803.82000000002
20.9,56.2,2140.9,165.6,4498.6,1.0,2.1,3.8,538.5,23.7,15844.33000000002
22.8,53.0,2556.8,137.1,4762.7,0.9,2.0,3.2,583.5,22.3,16582.72000000002
